,PageUrl,Score,Describe
0,https://www.facebook.com/hhsb.vn,5200000.0,
1,https://www.facebook.com/bmsb.vnn,2100000.0,Bí Mật Showbiz - Trang tin tức giải trí cập nhật tin nhanh và chuẩn. Zalo: 0934191930
2,https://www.facebook.com/theanh28.page,1000000.0,Official KENH28.VN- Trang tin tức giải trí dành riêng cho giới trẻ. LIÊN HỆ QUẢNG CÁO - HỢP TÁC. Bạn 
3,https://www.facebook.com/TrollCaShowbiz,597000.0,"Troll cả showbiz, không chừa một ai!"
5,https://www.facebook.com/chimlonshowbiz,477000.0,"Mấy con mụ sân si, hóng hớt về Showbiz"
6,https://www.facebook.com/vutrushowbiz,458000.0,"Vũ Trụ Showbiz , nơi cập nhật tin tức giới trẻ Liên hệ quảng cáo : namnganduong@gmail.com"
7,https://www.facebook.com/thegioishowbiztv,280000.0,Tổng hợp video giải trí Showbiz Việt
8,https://www.facebook.com/hhsbvideo,2700000.0,Trang con của Hóng Hớt Showbiz
10,https://www.facebook.com/batmishowbiz,538000.0,Trang fanpage giải trí showbiz
11,https://www.facebook.com/tgsbvn,312000.0,
12,https://www.facebook.com/GocKhuatShowBizFB,553000.0,Bật mí những góc khuất của Showbiz!
14,https://www.facebook.com/vnshowbiz,153000.0,"Fanpage cung cấp thông tin giải trí, truyền thông cho giới nghệ sĩ, showbiz Việt, những clip vui vẻ, "
16,https://www.facebook.com/toancanhshowbiz,427000.0,"Tổng hợp những tin tức về giải trí, thông tin nhanh và chính xác nhất."
17,https://www.facebook.com/SBcogivui,112000.0,Showbiz Có Gì Vui - Kênh giải trí tin tức showbiz
18,https://www.facebook.com/TheGioiShowbiz.DAN,266000.0,Đơn giản vì tôi yêu âm nhạc và tôi thích hát.
0,https://www.facebook.com/thethao247.vn/,1400000.0,"Thethao247.vn - Tin thể thao 247, bóng đá, video bàn thắng cập nhật 24/7"
1,https://www.facebook.com/langthethaoofficial,148000.0,Làng thể thao - ngôi làng của tín đồ mê thể thao Like và share ngay để mọi ngư?
2,https://www.facebook.com/tinthethaovn,269000.0,"Cập nhật tin tức thể thao nhanh nhất, hình ảnh thể thao ấn tượng."
3,https://www.facebook.com/www.kenhthethao.vn,5500000.0,Kenhthethao.vn - Kênh thông tin thể thao-giải trí hàng đầu thuộc bản quyền của Eyeplus Media
4,https://www.facebook.com/yeuthethaovn.fanpage,721000.0,Nơi thể hiện tình yêu bóng đá của người hâm mộ 
5,https://www.facebook.com/pagethethao24h,459000.0,
6,https://www.facebook.com/phuongthengoc88,402000.0,
7,https://www.facebook.com/vnesportstv,1200000.0,Vietnam eSportsTV Channel - Kênh truyền hình Thể thao Điện tử hàng đầu Việt Nam https://lienminh.gar
8,https://www.facebook.com/CuongTheThaoOfficial,429000.0,Kênh thuộc hệ sinh thái Next Media Cuồng Thể Thao - Cập nhật những tin tức thể thao mới nhất đến độc
9,https://www.facebook.com/GhienTheThaoOfficialVN,169000.0,Official fanpage of Next Media JSC Ghiền Thể Thao mang đến những phút giây chân thực nhất của thể th
10,https://www.facebook.com/banthethaovtv,296000.0,Fanpage chính thức của Ban Thể thao - Đài Truyền hình Việt Nam 
11,https://www.facebook.com/DecathlonVN,311000.0,"Official Page của Decathlon - Thương hiệu quần áo, giày dép, dụng cụ thể thao lớn nhất châu Âu tại VN"
12,https://www.facebook.com/PresentWriter,552000.0,"Blog, YouTube, Podcast về bài học cuộc sống và phát triển bản thân. Tác giả: Chi Nguyễn, PhD"
13,https://www.facebook.com/xshop02,177000.0,"Sỉ, lẻ Giày Thể Thao Toàn Quốc Tuyển Cộng Tác Viên bán hàng chiết khấu cao, không cần bỏ vốn Zalo: 09"
14,https://www.facebook.com/shopvans,302000.0,"Sỉ, lẻ Giày Thể Thao Toàn Quốc Tuyển Cộng Tác Viên bán hàng chiết khấu cao, không cần bỏ vốn"
15,https://www.facebook.com/SieuTheThao,170000.0,"Tạp chí thể thao tổng hợp. Thông tin về các môn thể thao: Bóng Đá, Tennis, Bóng "
16,https://www.facebook.com/Nhi.Daphale,192000.0,1st Runner Up Miss Universe Vietnam 2022 ✉: contact.thaonhile@gmail.com
17,https://www.facebook.com/phuongthaogaytv,681000.0,"Tài trợ, quảng cáo liên hệ: gaymedia88@gmail.com"
18,https://www.facebook.com/luong.thaoanhh,481000.0,Xin chào mọi người mình là Thảo Anh Đây là kênh chính thức của mình 
19,https://www.facebook.com/fanthethao,687000.0,Nơi hội tụ của những fan hâm mộ thể thao Cập nhật thông tin bên lề - Cuồng nhiệt cùng những trận cầu 
20,https://www.facebook.com/The1970store,421000.0,"Nơi những gã đàn ông đam mê phong cách thời trang cổ điển, bụi bặm tìm đến."
21,https://www.facebook.com/CiiNBuiThaoLy,503000.0,Bùi Thảo Ly (CiiN) OFFICIAL FANPAGE Contact: duytuongle@gmail.com - 0934026053 ( Zalo )
22,https://www.facebook.com/thanhnien,2200000.0,"Fanpage Báo Thanh Niên. Tin tức online, tin nhanh 24h. Đọc báo tin nóng Việt Nam, thế giới, tin thời "
23,https://www.facebook.com/webthethao24h,182000.0,Webthethao.vn - Thể thao vì một cuộc sống tốt đẹp hơn
24,https://www.facebook.com/Webthethao,355000.0,Webthethao.vn - Thể thao vì một cuộc sống tốt đẹp hơn
25,https://www.facebook.com/SBTCEsportLol,211000.0,Fanpage chính thức của đội tuyển thể thao điện tử chuyên nghiệp bộ môn Liên Minh Huyền Thoại
26,https://www.facebook.com/thaoxinhshopp,1500000.0,Chuyên bán lẻ quần áo đẹp � 
27,https://www.facebook.com/TheWeirdShopUnisex,261000.0,Tự tin mang tới cho bạn những trang phục tốt nhất
28,https://www.facebook.com/NguyenThucThuyTien,1500000.0,Miss Grand International 2021 Contact: Talents@senvangvn.com Ms. Việt Mỹ +84 97 4282121
29,https://www.facebook.com/Theanh28Sport,1000000.0,Nơi dành cho những tín đồ Thể Thao ZALO: 0983.663.092
30,https://www.facebook.com/idpvietnam/,2000000.0,Get more information about the courses and institutions you are looking for at our website. Be better placed with IDP! 
0,https://www.facebook.com/vietnamesefootball,1300000.0,Fanpage chính thức của Liên đoàn Bóng đá Việt Nam (VFF)
1,https://www.facebook.com/fbbongda24h,1100000.0,Tin tức video bóng đá 24h cập nhập nhanh chất lượng 24h/07
2,https://www.facebook.com/trollbongda,3600000.0,"Troll Bóng đá do MCV Network trực thuộc MCV Group bảo vệ bản quyền, quản lý, vận hành và khai thác n"
3,https://www.facebook.com/ghienbongdaofficial,3000000.0,"Quảng cáo, hợp tác vui lòng liên hệ: hotro.gbd@gmail.com Cần BÓNG ĐÁ vào chúng tôi"
4,https://www.facebook.com/tapchibongda,624000.0,Cộng đồng hâm mộ bóng đá hàng đầu Việt Nam! LHQC - telegram: @khaldrogo79
5,https://www.facebook.com/haglfc.clb,632000.0,Fanpage chính thức của CLB Bóng Đá Hoàng Anh Gia Lai Đây là kênh thông tin chính thức
6,https://www.facebook.com/bongda365.tv,530000.0,"Mang tin tức bóng đá mới nhất, chính xác nhất đến với bạn đọc! "
7,https://www.facebook.com/bongda6666,1400000.0,Fan Page dành cho những người yêu bóng đá - cùng chia sẻ đam mê! Mọi thông tin xin liên hệ: bongdafb1
8,https://www.facebook.com/bongdacuoibebung,113000.0,Nơi mang lại tiếng cười giải trí cho các anh em đam mê bóng đá =)))
9,https://www.facebook.com/ghienbongdaTV,1500000.0,"Quảng cáo, hợp tác vui lòng liên hệ: hotro.gbd@gmail.com"
10,https://www.facebook.com/BongDaS2,443000.0,Cháy đam mê cùng Bóng Đá
11,https://www.facebook.com/bongdavl,106000.0,"Tham gia hội chém gió trên facebook để chia sẽ những câu chuyện, hình ảnh thú vị tới mọi người"
12,https://www.facebook.com/bongdaplus.fanpage,502000.0,Tin tức thể thao cập nhật hàng ngày
13,https://www.facebook.com/baobongda.official,224000.0,Liên hệ quảng cáo: Telegram: https://t.me/adsfutbol
14,https://www.facebook.com/BLVBongDa.page,145000.0,"PUBG, GTA V, LOL, CSGO Streamer"
15,https://www.facebook.com/BHMedia.Cuongbongda,299000.0,Fanpage thể thao thuộc quyền sở hữu của BH Media - Hotline : 0916880116 -Email: contact.facebook@
16,https://www.facebook.com/goalvietnam,375000.0,"GOAL là trang tin điện tử về bóng đá lớn nhất thế giới, cập nhật liên tục, đa chiều về mọi giải đấu, "
17,https://www.facebook.com/bongda24h.fanvietnam,224000.0,"Hợp tác, quảng cáo xin liên hệ telegram: @bongda20 "
18,https://www.facebook.com/FPTBongDaOfficial,304000.0,"Fanpage do FPT Play trực thuộc FPT Telecom bảo vệ bản quyền, quản lý, vận hành và khai thác nội dung."
19,https://www.facebook.com/congdongbongro,221000.0,Trang thông tin & giải trí dành cho Cộng đồng yêu Bóng rổ.
20,https://www.facebook.com/FunnyBongDa,169000.0,Liên hệ quảng cáo: Telegram: https://t.me/adsfutbol
21,https://www.facebook.com/YeuBongDa.HN,226000.0,Liên hệ quảng cáo: Telegram: https://t.me/adsfutbol
22,https://www.facebook.com/bongdasinhvien,256000.0,"Cộng đồng học sinh, sinh viên yêu bóng đá "
23,https://www.facebook.com/yeuthethaovn.fanpage,721000.0,Nơi thể hiện tình yêu bóng đá của người hâm mộ 
24,https://www.facebook.com/FanBongda24h.vn,1000000.0,"Bongda24h.vn - cập nhật tin Bóng Đá 24h, kết quả tỷ số trận đấu, những bàn thắng đẹp mắt, bình luận t"
25,https://www.facebook.com/anhdadenchuanmen,3700000.0,Liên Hệ Quảng Cáo : Email: quangcaoadd191@gmail.com
26,https://www.facebook.com/bongdas7,260000.0,"Tổ chức, tư vấn, hỗ trợ các giải bóng đá. Dịch vụ Livestream các trận đấu bóng đá, các giải thể thao "
27,https://www.facebook.com/leboong95,744000.0,“Cục năng lượng tích cực” TOP 10 MISS FITNESS VIETNAM 📩lebongofficial@gmail.com 094.848.2899 (Nhi)
28,https://www.facebook.com/officialbinz,3300000.0,Fanpage chính thức của Binz
0,https://www.facebook.com/daihocfpt,317000.0,Trang thông tin tuyển sinh chính thức của Trường Đại học FPT
1,https://www.facebook.com/vutruduatin,1400000.0,Liên hệ quảng cáo : namnganduong@gmail.com Hoặc Zalo/Sdt : 0869921407
2,https://www.facebook.com/uob.vn,2500000.0,"Luôn bên cạnh mỗi thế hệ, UOB chia sẻ những câu chuyện, cảm hứng và thông tin tài chính."
3,https://www.facebook.com/VTVMoney,1600000.0,Những thông tin kinh tế cập nhật nhất của Việt Nam và Thế giới. Chia sẻ cơ hội - Giúp bạn kiếm tiền.
4,https://www.facebook.com/vietnamnet.vn,2300000.0,"Cập nhật tin tức chính trị, thời sự, đời sống, dân sinh chính thống, đa dạng, phong phú."
0,https://www.facebook.com/TinhHoaRapViet,2000000.0,"Rap Việt Underground là kênh chuyên về các thể loại rap, với những rapper tên tuổi của mảnh đất ngầm "
1,https://www.facebook.com/TrollRapViet,415000.0,Hỗ trợ tất cả mọi thứ liên quan đến rap Việt 
2,https://www.facebook.com/RapVNofficial,1900000.0,Cộng đồng những yêu nhạc rap/hiphop Việt trong giới underground và overground
